,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
0,PW0.1,0.061942671313042735,10,Relu,2,4,1,0.1
1,PW0.3,0.4028420687813655,10,Relu,2,4,1,0.3
2,PW0.5,0.03716247192217248,10,Relu,4,5,1,0.5
3,PW0.7,0.24397373248179458,10,Relu,6,4,1,0.7
4,PW0.9,0.13199810719987792,10,Relu,8,2,1,0.9
5,AR,1.0005251842619935,10,Relu,1,9,1,0.1
6,PW0.1,0.5771583016379477,20,Relu,2,4,1,0.1
7,PW0.3,0.6760281482086815,20,Relu,3,6,1,0.3
8,PW0.5,0.8313557218814701,20,Relu,5,10,1,0.5
9,PW0.7,0.03264217322049945,20,Relu,9,11,1,0.7
10,PW0.9,0.2346193255513141,20,Relu,15,5,1,0.9
11,AR,0.21831895601181076,20,Relu,1,19,1,0.1
12,PW0.1,0.14641173444531175,50,Relu,2,4,1,0.1
13,PW0.3,0.14251888622526016,50,Relu,4,10,1,0.3
14,PW0.5,0.2895600791889875,50,Relu,8,20,1,0.5
15,PW0.7,0.02594378626520183,50,Relu,16,31,1,0.7
16,PW0.9,0.30815538736620207,50,Relu,34,16,1,0.9
17,AR,0.20142133553004066,50,Relu,1,49,1,0.1
18,PW0.1,1.514043540820031,100,Relu,2,4,1,0.1
19,PW0.3,0.1061638947700636,100,Relu,4,12,1,0.3
20,PW0.5,0.3796600836466507,100,Relu,11,37,1,0.5
21,PW0.7,0.14682704649094808,100,Relu,26,62,1,0.7
22,PW0.9,0.11572085777855717,100,Relu,64,36,1,0.9
23,AR,0.00911803869321054,100,Relu,1,99,1,0.1
24,PW0.1,0.13545496755727898,200,Relu,2,4,1,0.1
25,PW0.3,0.40269668694126626,200,Relu,5,18,1,0.3
26,PW0.5,0.22598368018002207,200,Relu,15,62,1,0.5
27,PW0.7,0.40201583096580384,200,Relu,41,123,1,0.7
28,PW0.9,0.04553824070417328,200,Relu,118,82,1,0.9
29,AR,0.25930291209530826,200,Relu,1,199,1,0.1
30,PW0.1,1.201597688334771,500,Relu,2,4,1,0.1
31,PW0.3,0.14214003465945393,500,Relu,7,28,1,0.3
32,PW0.5,0.1259177029655682,500,Relu,23,111,1,0.5
33,PW0.7,0.17498520003932494,500,Relu,78,290,1,0.7
34,PW0.9,0.015666019982075174,500,Relu,269,231,1,0.9
35,AR,0.08947056018936878,500,Relu,1,499,1,0.1
36,PW0.1,1.0523368148686927,10,Relu,2,4,1,0.1
37,PW0.3,0.3376532765848504,10,Relu,2,4,1,0.3
38,PW0.5,0.02119944730733253,10,Relu,4,4,1,0.5
39,PW0.7,0.34770654095855713,10,Relu,6,4,1,0.7
40,PW0.9,0.5951384375695067,10,Relu,8,2,1,0.9
41,AR,0.2809612849525085,10,Relu,1,9,1,0.1
42,PW0.1,0.24719614906876564,20,Relu,2,4,1,0.1
43,PW0.3,0.02399985879803851,20,Relu,3,6,1,0.3
44,PW0.5,0.334129112877362,20,Relu,5,12,1,0.5
45,PW0.7,0.11723769794670211,20,Relu,9,11,1,0.7
46,PW0.9,0.22030454041685382,20,Relu,15,5,1,0.9
47,AR,0.7339942478605842,20,Relu,1,19,1,0.1
48,PW0.1,0.0452371230307439,50,Relu,2,4,1,0.1
49,PW0.3,0.9833723265332914,50,Relu,4,9,1,0.3
50,PW0.5,0.0026873196469053007,50,Relu,8,20,1,0.5
51,PW0.7,0.49680472202402415,50,Relu,16,30,1,0.7
52,PW0.9,0.27253219526141337,50,Relu,34,16,1,0.9
53,AR,0.00467139636131228,50,Relu,1,49,1,0.1
54,PW0.1,0.5238412589286381,100,Relu,2,4,1,0.1
55,PW0.3,0.4640685727119805,100,Relu,4,12,1,0.3
56,PW0.5,0.2390595159399307,100,Relu,11,38,1,0.5
57,PW0.7,0.5388363723211766,100,Relu,26,62,1,0.7
58,PW0.9,0.2835051679066307,100,Relu,64,36,1,0.9
59,AR,0.3353906795379866,100,Relu,1,99,1,0.1
60,PW0.1,0.7059021440082023,200,Relu,2,4,1,0.1
61,PW0.3,0.1407698939605208,200,Relu,5,17,1,0.3
62,PW0.5,0.23566916239050328,200,Relu,15,61,1,0.5
63,PW0.7,0.02476322854388424,200,Relu,41,122,1,0.7
64,PW0.9,0.09721809173569651,200,Relu,118,82,1,0.9
65,AR,0.0933719536464156,200,Relu,1,199,1,0.1
66,PW0.1,1.746641828185244,500,Relu,2,4,1,0.1
67,PW0.3,0.11597178478804349,500,Relu,7,28,1,0.3
68,PW0.5,0.0033474756538991457,500,Relu,23,114,1,0.5
69,PW0.7,0.18059747991850722,500,Relu,78,283,1,0.7
70,PW0.9,0.26381176273150797,500,Relu,269,231,1,0.9
71,AR,0.07686387587280091,500,Relu,1,499,1,0.1
72,PW0.1,0.7496075915427731,10,Relu,2,4,1,0.1
73,PW0.3,1.1259047080590971,10,Relu,2,4,1,0.3
74,PW0.5,0.3641636773458498,10,Relu,4,4,1,0.5
75,PW0.7,0.08903797866810126,10,Relu,6,4,1,0.7
76,PW0.9,0.41941518634535435,10,Relu,8,2,1,0.9
77,AR,0.35364255357160523,10,Relu,1,9,1,0.1
78,PW0.1,0.5837366178730155,20,Relu,2,4,1,0.1
79,PW0.3,0.2582369784175452,20,Relu,3,6,1,0.3
80,PW0.5,0.1075908458481376,20,Relu,5,11,1,0.5
81,PW0.7,0.10916522579622645,20,Relu,9,10,1,0.7
82,PW0.9,0.5024261470553231,20,Relu,15,5,1,0.9
83,AR,0.5113980573321542,20,Relu,1,19,1,0.1
84,PW0.1,0.9268654703516939,50,Relu,2,4,1,0.1
85,PW0.3,0.3129566476035026,50,Relu,4,10,1,0.3
86,PW0.5,0.19740155826603656,50,Relu,8,23,1,0.5
87,PW0.7,0.12878428052341634,50,Relu,16,31,1,0.7
88,PW0.9,0.015449275172834787,50,Relu,34,16,1,0.9
89,AR,0.22459755605588938,50,Relu,1,49,1,0.1
90,PW0.1,0.11752234626565494,100,Relu,2,4,1,0.1
91,PW0.3,0.176488349440595,100,Relu,4,12,1,0.3
92,PW0.5,0.29954418682310957,100,Relu,11,34,1,0.5
93,PW0.7,0.15076095088666674,100,Relu,26,61,1,0.7
94,PW0.9,0.3622379118593818,100,Relu,64,36,1,0.9
95,AR,0.3769774789452738,100,Relu,1,99,1,0.1
96,PW0.1,1.1510351689296174,200,Relu,2,4,1,0.1
97,PW0.3,0.2892585600243156,200,Relu,5,17,1,0.3
98,PW0.5,0.22262362470903918,200,Relu,15,59,1,0.5
99,PW0.7,0.03227283021916416,200,Relu,41,122,1,0.7
100,PW0.9,0.0775830507149533,200,Relu,118,82,1,0.9
101,AR,0.1353246530598926,200,Relu,1,199,1,0.1
102,PW0.1,0.16428144268844663,500,Relu,2,4,1,0.1
103,PW0.3,0.46719175755558306,500,Relu,7,27,1,0.3
104,PW0.5,0.24888966356128217,500,Relu,23,111,1,0.5
105,PW0.7,0.0054697874996633145,500,Relu,78,285,1,0.7
106,PW0.9,0.033231097616219674,500,Relu,269,231,1,0.9
107,AR,0.10413077069906584,500,Relu,1,499,1,0.1
108,PW0.1,0.23483439637282322,10,Relu,2,4,1,0.1
109,PW0.3,1.7941941141484516,10,Relu,2,4,1,0.3
110,PW0.5,0.1704739151262591,10,Relu,4,6,1,0.5
111,PW0.7,0.227226931385887,10,Relu,6,4,1,0.7
112,PW0.9,0.005200855941238647,10,Relu,8,2,1,0.9
113,AR,0.7283875397763113,10,Relu,1,9,1,0.1
114,PW0.1,0.9539567418207184,20,Relu,2,4,1,0.1
115,PW0.3,0.8685020985668133,20,Relu,3,6,1,0.3
116,PW0.5,0.3120118769168996,20,Relu,5,11,1,0.5
