method,expected_return,num_rollouts,k,exp,time_minutes
PW1,137.45,10,0.02,1.0,12.920223518212635
AR,142.07,10,0.1,0.1,13.492526125907897
PW1,138.68,20,0.02,1.0,13.237902263800303
AR,140.89,20,0.1,0.1,17.309776429335276
PW1,137.16,50,0.02,1.0,13.48712335427602
AR,147.86,50,0.1,0.1,14.709334250291189
PW1,140.44,100,0.02,1.0,12.621699933211008
AR,168.26,100,0.1,0.1,15.416583915551504
PW1,144.88,200,0.02,1.0,16.79098435640335
AR,170.0,200,0.1,0.1,17.322821430365245
PW1,164.43,500,0.02,1.0,33.50496291319529
AR,170.0,500,0.1,0.1,23.81135850350062
PW1,168.0,1000,0.02,1.0,50.67389975786209
AR,170.0,1000,0.1,0.1,700.6961125334104
PW1,138.89,10,0.02,1.0,10.550295154253641
AR,140.69,10,0.1,0.1,10.78730137348175
PW1,138.05,20,0.02,1.0,10.806568801403046
AR,140.71,20,0.1,0.1,12.490456545352936
PW1,136.76,50,0.02,1.0,13.166893287499745
AR,147.62,50,0.1,0.1,12.881032566229502
PW1,140.69,100,0.02,1.0,10.635117975870768
AR,167.81,100,0.1,0.1,13.25042022864024
PW1,145.66,200,0.02,1.0,14.80855096578598
AR,170.0,200,0.1,0.1,19.965742325782777
PW1,161.95,500,0.02,1.0,37.13673668305079
AR,170.0,500,0.1,0.1,33.86853119134903
PW1,167.9,1000,0.02,1.0,66.42354546785354
PW1,137.45,10,0.02,1.0,12.920223518212635
AR,142.07,10,0.1,0.1,13.492526125907895
PW1,138.68,20,0.02,1.0,13.237902263800304
AR,140.89,20,0.1,0.1,17.309776429335276
PW1,137.16,50,0.02,1.0,13.48712335427602
AR,147.86,50,0.1,0.1,14.709334250291189
PW1,140.44,100,0.02,1.0,12.621699933211008
AR,168.26,100,0.1,0.1,15.416583915551504
PW1,144.88,200,0.02,1.0,16.79098435640335
AR,170.0,200,0.1,0.1,17.322821430365245
PW1,164.43,500,0.02,1.0,33.50496291319529
AR,170.0,500,0.1,0.1,23.81135850350062
PW1,168.0,1000,0.02,1.0,50.67389975786209
AR,170.0,1000,0.1,0.1,700.6961125334104
PW1,138.89,10,0.02,1.0,10.55029515425364
AR,140.69,10,0.1,0.1,10.78730137348175
PW1,138.05,20,0.02,1.0,10.806568801403046
AR,140.71,20,0.1,0.1,12.490456545352936
PW1,136.76,50,0.02,1.0,13.166893287499745
AR,147.62,50,0.1,0.1,12.881032566229502
PW1,140.69,100,0.02,1.0,10.635117975870768
AR,167.81,100,0.1,0.1,13.25042022864024
PW1,145.66,200,0.02,1.0,14.80855096578598
AR,170.0,200,0.1,0.1,19.965742325782777
PW1,161.95,500,0.02,1.0,37.13673668305079
AR,170.0,500,0.1,0.1,33.86853119134903
PW0.7,137.73,10,0.02,0.7,
PW0.8,138.09,10,0.02,0.8,
PW1,138.1,10,0.02,1.0,
AR,141.69,10,0.1,0.1,
PW0.7,138.85,20,0.02,0.7,
PW0.8,138.07,20,0.02,0.8,
PW1,138.85,20,0.02,1.0,
AR,140.52,20,0.1,0.1,
PW0.7,136.25,50,0.02,0.7,
PW0.8,136.33,50,0.02,0.8,
PW1,137.18,50,0.02,1.0,
AR,148.62,50,0.1,0.1,
PW0.7,143.36,100,0.02,0.7,
PW0.8,143.89,100,0.02,0.8,
PW1,139.71,100,0.02,1.0,
AR,167.87,100,0.1,0.1,
PW0.7,141.49,200,0.02,0.7,
PW0.8,145.28,200,0.02,0.8,
PW1,146.11,200,0.02,1.0,
AR,170.0,200,0.1,0.1,
PW0.7,145.12,500,0.02,0.7,
PW0.8,157.62,500,0.02,0.8,
PW1,165.36,500,0.02,1.0,
AR,170.0,500,0.1,0.1,
PW0.7,156.08,1000,0.02,0.7,
PW0.8,162.38,1000,0.02,0.8,
PW1,167.5,1000,0.02,1.0,
AR,170.0,1000,0.1,0.1,
