method,expected_return,num_rollouts,k,exp,time_minutes
PW0.8,137.59,10,0.02,0.8,16.196061126391093
PW0.9,138.13,10,0.02,0.9,27.290630722045897
PW1,138.11,10,0.02,1.0,39.37891356150309
AR,140.61,10,0.1,0.1,20.18736525774002
PW0.8,138.47,20,0.02,0.8,15.67433184782664
PW0.9,137.62,20,0.02,0.9,16.499662307898202
PW1,137.31,20,0.02,1.0,16.815300504366558
AR,140.72,20,0.1,0.1,18.586970786253612
PW0.8,133.86,50,0.02,0.8,15.746002594629923
PW0.9,135.82,50,0.02,0.9,16.147078863779704
PW1,134.81,50,0.02,1.0,16.143085336685182
AR,148.11,50,0.1,0.1,18.02189338604609
PW0.8,140.72,100,0.02,0.8,14.174038565158844
PW0.9,141.72,100,0.02,0.9,14.095961932341257
PW1,142.02,100,0.02,1.0,13.8828133503596
AR,167.69,100,0.1,0.1,17.211000196139018
PW0.8,144.73,200,0.02,0.8,14.334875496228536
PW0.9,147.57,200,0.02,0.9,16.922321967283885
PW1,146.42,200,0.02,1.0,18.637374885876973
AR,170.0,200,0.1,0.1,21.078352042039235
PW0.8,156.11,500,0.02,0.8,23.930854046344756
PW0.9,159.46,500,0.02,0.9,28.551209966341656
PW1,163.43,500,0.02,1.0,39.34063300689061
AR,170.0,500,0.1,0.1,30.666270220279692
PW0.8,164.03,1000,0.02,0.8,28.30230093797048
PW0.9,166.6,1000,0.02,0.9,706.7188109954199
PW1,167.8,1000,0.02,1.0,71.95156476895015
AR,170.0,1000,0.1,0.1,71.99942684570948
PW0.8,137.59,10,0.02,0.8,14.25405786037445
PW0.9,137.49,10,0.02,0.9,14.08016442457835
PW1,137.65,10,0.02,1.0,14.028822020689647
AR,140.64,10,0.1,0.1,14.927689707279205
PW0.8,137.15,20,0.02,0.8,31.079568247000378
PW0.9,139.19,20,0.02,0.9,29.52410018046697
PW1,137.68,20,0.02,1.0,14.322068540255229
AR,141.21,20,0.1,0.1,16.182685172557832
PW0.8,135.49,50,0.02,0.8,14.577643728256225
PW0.9,137.72,50,0.02,0.9,14.598223646481832
PW1,135.49,50,0.02,1.0,14.542843890190124
AR,147.26,50,0.1,0.1,18.020777825514475
PW0.8,145.42,100,0.02,0.8,17.663656838734944
PW0.9,142.56,100,0.02,0.9,37.126753171284996
PW1,141.05,100,0.02,1.0,40.33949293295542
AR,167.9,100,0.1,0.1,49.949184223016104
PW0.8,144.06,200,0.02,0.8,41.183781921863556
PW0.9,145.2,200,0.02,0.9,244.42400522232055
PW1,146.06,200,0.02,1.0,21.55455781618754
AR,170.0,200,0.1,0.1,21.60911935567856
PW0.8,155.34,500,0.02,0.8,23.35822897752126
PW0.9,156.26,500,0.02,0.9,27.10732613404592
PW1,163.13,500,0.02,1.0,40.330115815003715
AR,170.0,500,0.1,0.1,34.52111794551214
PW0.8,162.79,1000,0.02,0.8,34.01419195334117
PW0.9,166.8,1000,0.02,0.9,44.843743713696796
PW1,167.0,1000,0.02,1.0,72.71267779668172
AR,170.0,1000,0.1,0.1,76.99329139788945
PW0.8,137.3,10,0.02,0.8,14.755492738882701
PW0.9,137.56,10,0.02,0.9,14.682653764883677
PW1,137.52,10,0.02,1.0,14.732299331823985
AR,141.55,10,0.1,0.1,15.468185166517893
PW0.8,138.08,20,0.02,0.8,14.823507455984752
PW0.9,137.52,20,0.02,0.9,14.695433259010315
PW1,138.79,20,0.02,1.0,14.732166786988577
AR,141.0,20,0.1,0.1,16.780522282918295
PW0.8,133.65,50,0.02,0.8,14.815404466787975
PW0.9,137.84,50,0.02,0.9,14.874504224459331
PW1,137.54,50,0.02,1.0,16.700974067052204
AR,147.91,50,0.1,0.1,19.355419754981995
PW0.8,143.67,100,0.02,0.8,15.794562510649364
PW0.9,137.51,100,0.02,0.9,14.682464532057445
PW1,142.67,100,0.02,1.0,14.872555871804556
AR,167.99,100,0.1,0.1,18.83181391954422
PW0.8,145.34,200,0.02,0.8,15.61770027478536
PW0.9,143.45,200,0.02,0.9,18.518432569503783
PW1,145.69,200,0.02,1.0,20.37007670402527
AR,170.0,200,0.1,0.1,21.162379713853202
PW0.8,155.42,500,0.02,0.8,22.415133023262023
PW0.9,156.76,500,0.02,0.9,26.63441266218821
PW1,163.23,500,0.02,1.0,39.62767307360967
AR,170.0,500,0.1,0.1,33.531667085488635
PW0.8,163.73,1000,0.02,0.8,30.396461009979248
PW0.9,165.9,1000,0.02,0.9,44.27916179100672
PW1,168.3,1000,0.02,1.0,76.00293031930923
AR,170.0,1000,0.1,0.1,76.50484336614609
PW0.8,137.62,10,0.02,0.8,14.730090443293253
PW0.9,137.62,10,0.02,0.9,14.836164212226867
PW1,140.06,10,0.02,1.0,14.868092306454976
AR,141.46,10,0.1,0.1,15.634020507335663
PW0.8,137.93,20,0.02,0.8,14.867845976352692
PW0.9,137.66,20,0.02,0.9,15.13643637895584
PW1,137.73,20,0.02,1.0,14.977925205230713
AR,141.15,20,0.1,0.1,17.114185392856598
PW0.8,135.42,50,0.02,0.8,15.195971051851908
PW0.9,137.82,50,0.02,0.9,15.296444861094157
PW1,136.67,50,0.02,1.0,15.13120713631312
AR,147.29,50,0.1,0.1,18.11481810013453
PW0.8,142.64,100,0.02,0.8,15.307360740502675
PW0.9,139.7,100,0.02,0.9,15.423882385094961
PW1,141.43,100,0.02,1.0,15.652762206395467
AR,168.05,100,0.1,0.1,21.262933460871377
PW0.8,142.32,200,0.02,0.8,18.5811229745547
PW0.9,142.03,200,0.02,0.9,19.471906411647797
PW1,145.22,200,0.02,1.0,21.745549702644347
AR,170.0,200,0.1,0.1,22.74051268895467
PW0.8,158.48,500,0.02,0.8,22.483430683612823
PW0.9,157.75,500,0.02,0.9,29.074169345696767
PW1,163.69,500,0.02,1.0,40.95017174084981
AR,170.0,500,0.1,0.1,33.17188129027684
PW0.8,161.56,1000,0.02,0.8,30.03445901473363
PW0.9,166.43,1000,0.02,0.9,43.89965330759684
PW1,167.3,1000,0.02,1.0,71.04057137171428
AR,170.0,1000,0.1,0.1,75.69316336313884
PW0.8,137.16,10,0.02,0.8,14.624617330233256
PW0.9,136.58,10,0.02,0.9,14.467431449890137
PW1,137.92,10,0.02,1.0,14.58080153465271
AR,140.87,10,0.1,0.1,15.185928535461425
PW0.8,137.66,20,0.02,0.8,14.597243789831797
PW0.9,137.45,20,0.02,0.9,17.033492612838746
PW1,138.17,20,0.02,1.0,16.357181310653687
AR,140.97,20,0.1,0.1,16.69857273499171
PW0.8,135.78,50,0.02,0.8,14.735442817211151
PW0.9,136.22,50,0.02,0.9,14.711919677257537
PW1,135.09,50,0.02,1.0,14.737156017621357
AR,147.37,50,0.1,0.1,17.420772433280945
PW0.8,144.12,100,0.02,0.8,14.74943141937256
PW0.9,141.35,100,0.02,0.9,14.871140336990356
PW1,143.04,100,0.02,1.0,14.84020752509435
AR,167.96,100,0.1,0.1,18.431709210077923
PW0.8,143.71,200,0.02,0.8,15.084374630451203
PW0.9,145.27,200,0.02,0.9,17.872653301556905
PW1,145.05,200,0.02,1.0,20.243602414925892
AR,170.0,200,0.1,0.1,24.749888002872467
PW0.8,156.15,500,0.02,0.8,26.418979291121165
PW0.9,156.19,500,0.02,0.9,29.49543348948161
