method,expected_return,num_rollouts,k,exp
PW0.5,162.11,1000,1,0.5
PW0.15,139.05,10,1,0.15
PW0.3,138.7,10,1,0.3
PW0.5,139.11,10,1,0.5
PW0.7,139.05,10,1,0.7
PW0.15,138.86,20,1,0.15
PW0.3,139.8,20,1,0.3
PW0.5,140.13,20,1,0.5
PW0.7,139.92,20,1,0.7
PW0.15,138.63,50,1,0.15
PW0.3,137.99,50,1,0.3
PW0.5,139.51,50,1,0.5
PW0.7,139.39,50,1,0.7
PW0.15,140.82,100,1,0.15
PW0.3,137.61,100,1,0.3
PW0.5,139.58,100,1,0.5
PW0.7,139.93,100,1,0.7
PW0.7,140.0,200,1,0.7
PW0.15,155.63,200,1,0.15
PW0.3,140.82,200,1,0.3
PW0.5,139.5,200,1,0.5
PW0.7,140.0,500,1,0.7
PW0.1,157.6,500,1,0.1
PW0.5,139.74,500,1,0.5
PW0.15,163.56,500,1,0.15
PW0.3,168.03,500,1,0.3
PW0.7,139.93,1000,1,0.7
PW0.15,164.03,1000,1,0.15
PW0.3,169.0,1000,1,0.3
