method,value_error,num_rollouts,k,exp,time_minutes
PW0.2,0.04600000000000001,10,1,0.2,0.04912973642349243
PW0.5,0.04000000000000001,10,1,0.5,0.04936691125233968
PW0.8,0.02200000000000002,10,1,0.8,0.05070191224416097
PW0.2,0.048000000000000015,10,2,0.2,0.06080413262049357
PW0.5,0.04400000000000001,10,2,0.5,0.06672720909118653
PW0.8,0.001999999999999974,10,2,0.8,0.09151121377944946
PW0.2,0.058000000000000024,10,3,0.2,0.0853249192237854
PW0.5,0.013999999999999985,10,3,0.5,0.17789518038431804
PW0.8,0.018000000000000016,10,3,0.8,0.18562529484430948
PW0.2,0.02400000000000002,10,4,0.2,0.07006715933481852
PW0.5,0.034,10,4,0.5,0.0636965791384379
PW0.8,0.048000000000000015,10,4,0.8,0.05811961889266968
AR,0.04600000000000001,10,2,0.1,0.060401769479115804
PW0.2,0.014000000000000012,20,1,0.2,0.0971566637357076
PW0.5,0.010000000000000009,20,1,0.5,0.09764785766601562
PW0.8,0.008000000000000007,20,1,0.8,0.10229672193527221
PW0.2,0.020000000000000018,20,2,0.2,0.09544388055801392
PW0.5,0.02400000000000002,20,2,0.5,0.10256889263788858
PW0.8,0.006000000000000005,20,2,0.8,0.1181439201037089
PW0.2,0.05600000000000002,20,3,0.2,0.10247178475062052
PW0.5,0.016000000000000014,20,3,0.5,0.10719122489293416
PW0.8,0.030000000000000027,20,3,0.8,0.1223604440689087
PW0.2,0.001999999999999974,20,4,0.2,0.10250076850255331
PW0.5,0.048000000000000015,20,4,0.5,0.107588259379069
PW0.8,0.009999999999999981,20,4,0.8,0.11313841740290324
AR,0.032,20,2,0.1,0.1557992736498515
PW0.2,0.028000000000000025,50,1,0.2,0.25668015877405803
PW0.5,0.0040000000000000036,50,1,0.5,0.3129659136136373
PW0.8,0.034,50,1,0.8,0.40004327297210696
PW0.2,0.018000000000000016,50,2,0.2,0.3901631315549215
PW0.5,0.006000000000000005,50,2,0.5,0.3701771855354309
PW0.8,0.032,50,2,0.8,0.3595825354258219
PW0.2,0.068,50,3,0.2,0.270659875869751
PW0.5,0.0040000000000000036,50,3,0.5,0.31628173192342124
PW0.8,0.030000000000000027,50,3,0.8,0.4033506751060486
PW0.2,0.010000000000000009,50,4,0.2,0.27556615273157753
PW0.5,0.020000000000000018,50,4,0.5,0.3521577835083008
PW0.8,0.027999999999999997,50,4,0.8,0.3797607620557149
AR,0.05400000000000002,50,2,0.1,0.4582767446835836
PW0.2,0.026000000000000023,100,1,0.2,0.4314542849858602
PW0.5,0.032,100,1,0.5,0.5203993638356527
PW0.8,0.030000000000000027,100,1,0.8,0.7322607676188151
PW0.2,0.016000000000000014,100,2,0.2,0.6375408132870992
PW0.5,0.008000000000000007,100,2,0.5,0.5129372676213583
PW0.8,0.014000000000000012,100,2,0.8,0.769287621974945
PW0.2,0.014000000000000012,100,3,0.2,0.4841807762781779
PW0.5,0.032,100,3,0.5,0.6067500074704488
PW0.8,0.025999999999999995,100,3,0.8,0.9703163266181946
PW0.2,0.026000000000000023,100,4,0.2,0.49414793252944944
PW0.5,0.003999999999999976,100,4,0.5,0.6345348676045736
PW0.8,0.018000000000000016,100,4,0.8,0.9602246642112732
AR,0.01200000000000001,100,2,0.1,0.8699270645777385
PW0.2,0.068,200,1,0.2,0.727944529056549
PW0.5,0.028000000000000025,200,1,0.5,0.9844976743062337
PW0.8,0.030000000000000027,200,1,0.8,1.1842782855033875
PW0.2,0.04200000000000001,200,2,0.2,0.9826377272605896
PW0.5,0.021999999999999992,200,2,0.5,1.1512519558270773
PW0.8,0.032,200,2,0.8,2.375948488712311
PW0.2,0.026000000000000023,200,3,0.2,1.0299718817075094
PW0.5,0.034,200,3,0.5,1.2078305204709372
PW0.8,0.008000000000000007,200,3,0.8,2.9254349788029987
PW0.2,0.02400000000000002,200,4,0.2,1.0087801297505696
PW0.5,0.0040000000000000036,200,4,0.5,1.2709670583407084
PW0.8,0.0040000000000000036,200,4,0.8,2.8372398217519126
AR,0.018000000000000016,200,2,0.1,2.136906182765961
PW0.2,0.06200000000000003,500,1,0.2,1.6039027531941732
PW0.5,0.068,500,1,0.5,2.5435070514678957
PW0.8,0.008000000000000007,500,1,0.8,3.7532166639963784
PW0.2,0.05000000000000002,500,2,0.2,2.721146829922994
PW0.5,0.060000000000000026,500,2,0.5,4.304074887434641
PW0.8,0.006000000000000005,500,2,0.8,10.137730288505555
PW0.2,0.068,500,3,0.2,4.050573484102885
PW0.5,0.07,500,3,0.5,4.859331357479095
PW0.8,0.07400000000000001,500,3,0.8,15.856173352400463
PW0.2,0.005999999999999978,500,4,0.2,4.124006036917368
PW0.5,0.034,500,4,0.5,5.622768545150757
PW0.8,0.02400000000000002,500,4,0.8,19.338217115402223
AR,0.07200000000000001,500,2,0.1,11.295266874631245
PW0.2,0.02200000000000002,1000,1,0.2,3.8583237528800964
PW0.5,0.04200000000000001,1000,1,0.5,7.010480364163716
PW0.8,0.034,1000,1,0.8,16.148767574628195
PW0.2,0.09800000000000003,1000,2,0.2,11.831829516092936
PW0.5,0.08000000000000002,1000,2,0.5,9.660247266292572
PW0.8,0.032,1000,2,0.8,17.60859219233195
PW0.2,0.006000000000000005,1000,3,0.2,5.322188226381938
PW0.5,0.016000000000000014,1000,3,0.5,6.923772215843201
PW0.8,0.09400000000000003,1000,3,0.8,28.106329329808553
PW0.2,0.08400000000000002,1000,4,0.2,5.450259343783061
PW0.5,0.016000000000000014,1000,4,0.5,7.735844914118449
PW0.8,0.04200000000000001,1000,4,0.8,48.31238739490509
AR,0.026000000000000023,1000,2,0.1,22.153607285022737
PW0.2,0.030000000000000027,10,1,0.2,0.05338602463404338
PW0.5,0.028000000000000025,10,1,0.5,0.053114696343739824
PW0.8,0.01200000000000001,10,1,0.8,0.0544236421585083
PW0.2,0.032,10,2,0.2,0.055182480812072755
PW0.5,0.068,10,2,0.5,0.05515085061391194
PW0.8,0.030000000000000027,10,2,0.8,0.05722231070200602
PW0.2,0.07400000000000001,10,3,0.2,0.05583480993906657
PW0.5,0.0040000000000000036,10,3,0.5,0.05712445179621379
PW0.8,0.028000000000000025,10,3,0.8,0.0567879597345988
PW0.2,0.06200000000000003,10,4,0.2,0.05590123732884725
PW0.5,0.01999999999999999,10,4,0.5,0.056842060883839925
PW0.8,0.06200000000000003,10,4,0.8,0.05746179421742757
AR,0.07200000000000001,10,2,0.1,0.06020200252532959
PW0.2,0.05200000000000002,20,1,0.2,0.0997374931971232
PW0.5,0.015999999999999986,20,1,0.5,0.09973773956298829
PW0.8,0.05200000000000002,20,1,0.8,0.10953187545140584
PW0.2,0.00799999999999998,20,2,0.2,0.10246938864390055
PW0.5,0.08600000000000002,20,2,0.5,0.10747705698013306
PW0.8,0.05000000000000002,20,2,0.8,0.12212162812550863
PW0.2,0.048000000000000015,20,3,0.2,0.10861767927805582
PW0.5,0.034,20,3,0.5,0.11126012404759725
PW0.8,0.07800000000000001,20,3,0.8,0.11810492674509684
PW0.2,0.030000000000000027,20,4,0.2,0.10746880372365315
PW0.5,0.064,20,4,0.5,0.11771394809087117
PW0.8,0.028000000000000025,20,4,0.8,0.11831117471059163
AR,0.058000000000000024,20,2,0.1,0.12619389295578004
PW0.2,0.038000000000000006,50,1,0.2,0.2273432453473409
PW0.5,0.018000000000000016,50,1,0.5,0.24145374298095704
PW0.8,0.032,50,1,0.8,0.26168461243311564
PW0.2,0.038000000000000006,50,2,0.2,0.24253328641255698
PW0.5,0.030000000000000027,50,2,0.5,0.266133713722229
PW0.8,0.013999999999999985,50,2,0.8,0.3329689145088196
PW0.2,0.028000000000000025,50,3,0.2,0.24407939116160074
PW0.5,0.02200000000000002,50,3,0.5,0.27956968943277993
PW0.8,0.04000000000000001,50,3,0.8,0.3621649543444316
PW0.2,0.038000000000000006,50,4,0.2,0.25932276248931885
PW0.5,0.023999999999999994,50,4,0.5,0.2979168732961019
PW0.8,0.04000000000000001,50,4,0.8,0.34732786814371747
AR,0.09200000000000003,50,2,0.1,0.36964086691538495
PW0.2,0.030000000000000027,100,1,0.2,0.41426169077555336
PW0.5,0.008000000000000007,100,1,0.5,0.4869286020596822
PW0.8,0.008000000000000007,100,1,0.8,0.5443399747212728
PW0.2,0.034,100,2,0.2,0.48378429412841795
PW0.5,0.068,100,2,0.5,0.5589866518974305
PW0.8,0.009999999999999981,100,2,0.8,0.7783446749051411
PW0.2,0.030000000000000027,100,3,0.2,0.48323039213816327
PW0.5,0.05400000000000002,100,3,0.5,0.5774575471878052
PW0.8,0.034,100,3,0.8,0.9639745593070984
PW0.2,0.02400000000000002,100,4,0.2,0.4911400556564331
PW0.5,0.014000000000000012,100,4,0.5,0.6238022724787394
PW0.8,0.013999999999999985,100,4,0.8,0.9875637332598368
AR,0.008000000000000007,100,2,0.1,0.8606675585110982
PW0.2,0.001999999999999974,200,1,0.2,0.7238949060440063
PW0.5,0.026000000000000023,200,1,0.5,0.9822937726974488
PW0.8,0.0020000000000000018,200,1,0.8,1.2072131156921386
PW0.2,0.066,200,2,0.2,0.9641947587331136
PW0.5,0.01200000000000001,200,2,0.5,1.0272786100705464
PW0.8,0.015999999999999986,200,2,0.8,1.8495070099830628
PW0.2,0.020000000000000018,200,3,0.2,0.9905072212219238
PW0.5,0.026000000000000023,200,3,0.5,1.2026344815889993
PW0.8,0.011999999999999983,200,3,0.8,2.7869994322458904
PW0.2,0.023999999999999994,200,4,0.2,1.0031027317047119
PW0.5,0.048000000000000015,200,4,0.5,1.3138579527537029
PW0.8,0.04200000000000001,200,4,0.8,2.77290966908137
AR,0.010000000000000009,200,2,0.1,2.1526960730552673
PW0.2,0.02400000000000002,500,1,0.2,1.6058279951413472
PW0.5,0.05200000000000002,500,1,0.5,2.5513036211331683
PW0.8,0.0040000000000000036,500,1,0.8,3.808325397968292
PW0.2,0.02200000000000002,500,2,0.2,2.4415262937545776
PW0.5,0.026000000000000023,500,2,0.5,2.838088055451711
PW0.8,0.0020000000000000018,500,2,0.8,6.579854142665863
PW0.2,0.010000000000000009,500,3,0.2,2.5818330089251202
PW0.5,0.05600000000000002,500,3,0.5,3.1212437589963278
PW0.8,0.04400000000000001,500,3,0.8,10.092577119668325
PW0.2,0.02200000000000002,500,4,0.2,2.6342175443967184
PW0.5,0.00799999999999998,500,4,0.5,3.4680084745089212
PW0.8,0.05600000000000002,500,4,0.8,13.460640716552735
AR,0.05400000000000002,500,2,0.1,7.731435016791026
PW0.2,0.07800000000000001,1000,1,0.2,2.8959275046984354
PW0.5,0.034,1000,1,0.5,5.423524101575215
PW0.8,0.048000000000000015,1000,1,0.8,9.916247951984406
PW0.2,0.011999999999999983,1000,2,0.2,4.705029881000518
PW0.5,0.030000000000000027,1000,2,0.5,6.184313797950745
PW0.8,0.030000000000000027,1000,2,0.8,17.48237854242325
PW0.2,0.006000000000000005,1000,3,0.2,5.270318524042765
PW0.5,0.034,1000,3,0.5,6.884879616896312
PW0.8,0.04400000000000001,1000,3,0.8,37.18278795480728
PW0.2,0.04000000000000001,1000,4,0.2,8.996761949857076
PW0.5,0.066,1000,4,0.5,12.778440805276235
PW0.8,0.04000000000000001,1000,4,0.8,71.07796427408854
AR,0.021999999999999992,1000,2,0.1,31.460208153724672
PW0.2,0.064,10,1,0.2,0.07910526593526204
PW0.5,0.07400000000000001,10,1,0.5,0.07539006868998209
PW0.8,0.058000000000000024,10,1,0.8,0.08157928387324015
PW0.2,0.001999999999999974,10,2,0.2,0.07646253108978271
PW0.5,0.0040000000000000036,10,2,0.5,0.08051356077194213
PW0.8,0.032,10,2,0.8,0.07997671365737916
PW0.2,0.02200000000000002,10,3,0.2,0.07963704665501913
PW0.5,0.038000000000000006,10,3,0.5,0.0866049885749817
PW0.8,0.034,10,3,0.8,0.08173596858978271
PW0.2,0.016000000000000014,10,4,0.2,0.07962527672449747
PW0.5,0.028000000000000025,10,4,0.5,0.07773480415344239
PW0.8,0.036000000000000004,10,4,0.8,0.08124596277872721
AR,0.020000000000000018,10,2,0.1,0.08071329593658447
PW0.2,0.014000000000000012,20,1,0.2,0.1440935730934143
PW0.5,0.033999999999999975,20,1,0.5,0.1419679840405782
PW0.8,0.016000000000000014,20,1,0.8,0.15557137330373128
PW0.2,0.04799999999999999,20,2,0.2,0.14427876075108845
PW0.5,0.04200000000000001,20,2,0.5,0.16670865217844646
PW0.8,0.018000000000000016,20,2,0.8,0.17187071243921917
PW0.2,0.04000000000000001,20,3,0.2,0.15201940536499023
PW0.5,0.05400000000000002,20,3,0.5,0.15532371997833253
PW0.8,0.017999999999999988,20,3,0.8,0.17819385528564452
PW0.2,0.04000000000000001,20,4,0.2,0.15648836692174276
PW0.5,0.07,20,4,0.5,0.1709259827931722
PW0.8,0.066,20,4,0.8,0.17489582300186157
AR,0.05000000000000002,20,2,0.1,0.18934884866078694
PW0.2,0.028000000000000025,50,1,0.2,0.33691553672154745
PW0.5,0.010000000000000009,50,1,0.5,0.3612602710723877
PW0.8,0.008000000000000007,50,1,0.8,0.40367966890335083
PW0.2,0.07,50,2,0.2,0.3796797513961792
PW0.5,0.008000000000000007,50,2,0.5,0.39348164399464924
PW0.8,0.028000000000000025,50,2,0.8,0.4666148106257121
PW0.2,0.005999999999999978,50,3,0.2,0.371018385887146
PW0.5,0.018000000000000016,50,3,0.5,0.42791916529337565
PW0.8,0.010000000000000009,50,3,0.8,0.5282295703887939
PW0.2,0.038000000000000006,50,4,0.2,0.3870062510172526
PW0.5,0.025999999999999995,50,4,0.5,0.45635371605555214
PW0.8,0.001999999999999974,50,4,0.8,0.5098189433415731
AR,0.017999999999999988,50,2,0.1,0.5312787413597106
PW0.2,0.00799999999999998,100,1,0.2,0.6290608167648315
PW0.5,0.01200000000000001,100,1,0.5,0.7453650871912638
PW0.8,0.028000000000000025,100,1,0.8,0.8226432085037232
PW0.2,0.030000000000000027,100,2,0.2,0.7110852440198262
PW0.5,0.018000000000000016,100,2,0.5,0.7831534465154012
PW0.8,0.04400000000000001,100,2,0.8,1.1812897682189942
PW0.2,0.010000000000000009,100,3,0.2,0.7429938117663065
PW0.5,0.010000000000000009,100,3,0.5,0.8764166156450908
PW0.8,0.0020000000000000018,100,3,0.8,1.3974485794703166
PW0.2,0.028000000000000025,100,4,0.2,0.719592297077179
PW0.5,0.02200000000000002,100,4,0.5,0.926339880625407
PW0.8,0.036000000000000004,100,4,0.8,1.3861961046854654
AR,0.06200000000000003,100,2,0.1,1.2927485545476278
PW0.2,0.028000000000000025,200,1,0.2,1.0950432062149047
PW0.5,0.028000000000000025,200,1,0.5,1.4822399775187174
PW0.8,0.018000000000000016,200,1,0.8,1.784323763847351
PW0.2,0.038000000000000006,200,2,0.2,1.4738488992055256
PW0.5,0.001999999999999974,200,2,0.5,1.5872377514839173
PW0.8,0.064,200,2,0.8,2.8009734034538267
