method,expected_return,num_rollouts,k,exp,time_minutes
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.479951977729797
PW0.2,139.51,50,2,0.2,94.65614567597707
PW0.2,139.26,100,2,0.2,34.27374045451482
PW0.2,140.35,200,2,0.2,38.700853017965954
PW0.2,167.94,500,2,0.2,52.12116663455963
PW0.2,168.6,1000,2,0.2,78.69390567938487
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,139.51,50,2,0.2,94.65614567597709
PW0.2,139.26,100,2,0.2,34.27374045451482
PW0.2,140.35,200,2,0.2,38.700853017965954
PW0.2,167.94,500,2,0.2,52.12116663455963
PW0.2,168.6,1000,2,0.2,78.69390567938487
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,139.51,50,2,0.2,94.65614567597709
PW0.2,139.26,100,2,0.2,34.27374045451482
PW0.2,140.35,200,2,0.2,38.700853017965954
PW0.2,167.94,500,2,0.2,52.12116663455963
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,139.51,50,2,0.2,94.65614567597709
PW0.2,139.26,100,2,0.2,34.27374045451482
PW0.2,140.35,200,2,0.2,38.700853017965954
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,139.51,50,2,0.2,94.65614567597709
PW0.2,139.26,100,2,0.2,34.27374045451482
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,139.51,50,2,0.2,94.65614567597709
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.2,139.74,20,2,0.2,25.4799519777298
PW0.2,138.95,10,2,0.2,17.779291514555613
PW0.02,139.44,10,2,0.02,17.160843308766683
PW0.05,138.88,10,2,0.05,17.696507851282757
PW0.1,138.88,10,2,0.1,16.12368508974711
PW0.15,138.81,10,2,0.15,16.288560088475545
PW0.02,140.22,20,2,0.02,56.22966369787852
PW0.05,140.03,20,2,0.05,39.07880261739095
PW0.1,139.83,20,2,0.1,24.465815285841625
PW0.15,139.18,20,2,0.15,27.83770016431809
PW0.02,139.23,50,2,0.02,22.982625957330068
PW0.05,139.05,50,2,0.05,22.850246171156567
PW0.1,138.83,50,2,0.1,23.009575108687084
PW0.15,139.28,50,2,0.15,23.786086865266164
PW0.02,139.2,100,2,0.02,22.574969192345936
PW0.05,138.99,100,2,0.05,21.857462573051453
PW0.1,138.22,100,2,0.1,22.266752541065216
PW0.15,139.59,100,2,0.15,29.26247693697612
PW0.02,147.18,200,2,0.02,34.65723285277684
PW0.05,146.75,200,2,0.05,28.814644078413647
PW0.1,144.49,200,2,0.1,29.044199311733244
PW0.15,141.71,200,2,0.15,33.73537173271179
PW0.02,163.86,500,2,0.02,23.895882471402487
PW0.05,163.86,500,2,0.05,25.797828900814057
PW0.1,166.7,500,2,0.1,29.18518633445104
PW0.15,167.5,500,2,0.15,33.67611235380173
PW0.02,162.73,1000,2,0.02,33.25154287020366
PW0.05,163.8,1000,2,0.05,32.43552993535995
PW0.1,167.43,1000,2,0.1,31.47869657278061
PW0.15,168.3,1000,2,0.15,36.3812775015831
PW0.02,139.44,10,2,0.02,17.160843308766683
PW0.05,138.88,10,2,0.05,17.696507851282757
PW0.1,138.88,10,2,0.1,16.12368508974711
PW0.15,138.81,10,2,0.15,16.288560088475545
PW0.02,140.22,20,2,0.02,56.22966369787852
PW0.05,140.03,20,2,0.05,39.07880261739095
PW0.1,139.83,20,2,0.1,24.465815285841625
PW0.15,139.18,20,2,0.15,27.83770016431809
PW0.02,139.23,50,2,0.02,22.982625957330068
PW0.05,139.05,50,2,0.05,22.850246171156567
PW0.1,138.83,50,2,0.1,23.009575108687084
PW0.15,139.28,50,2,0.15,23.786086865266164
PW0.02,139.2,100,2,0.02,22.574969192345936
PW0.05,138.99,100,2,0.05,21.857462573051453
PW0.1,138.22,100,2,0.1,22.266752541065216
PW0.15,139.59,100,2,0.15,29.26247693697612
PW0.02,147.18,200,2,0.02,34.65723285277684
PW0.05,146.75,200,2,0.05,28.814644078413647
PW0.1,144.49,200,2,0.1,29.044199311733244
PW0.15,141.71,200,2,0.15,33.73537173271179
PW0.02,163.86,500,2,0.02,23.895882471402487
PW0.05,163.86,500,2,0.05,25.797828900814057
PW0.1,166.7,500,2,0.1,29.18518633445104
PW0.15,167.5,500,2,0.15,33.67611235380173
PW0.02,162.73,1000,2,0.02,33.25154287020366
PW0.05,163.8,1000,2,0.05,32.43552993535995
PW0.1,167.43,1000,2,0.1,31.47869657278061
PW0.15,168.3,1000,2,0.15,36.3812775015831
PW0.02,139.44,10,2,0.02,17.160843308766683
PW0.05,138.88,10,2,0.05,17.696507851282757
PW0.1,138.88,10,2,0.1,16.12368508974711
PW0.15,138.81,10,2,0.15,16.288560088475545
PW0.02,140.22,20,2,0.02,56.22966369787852
PW0.05,140.03,20,2,0.05,39.07880261739095
PW0.1,139.83,20,2,0.1,24.465815285841625
PW0.15,139.18,20,2,0.15,27.83770016431809
PW0.02,139.23,50,2,0.02,22.982625957330068
PW0.05,139.05,50,2,0.05,22.850246171156567
PW0.1,138.83,50,2,0.1,23.009575108687084
PW0.15,139.28,50,2,0.15,23.786086865266164
PW0.02,139.2,100,2,0.02,22.574969192345936
PW0.05,138.99,100,2,0.05,21.857462573051453
PW0.1,138.22,100,2,0.1,22.266752541065216
PW0.15,139.59,100,2,0.15,29.26247693697612
PW0.02,147.18,200,2,0.02,34.65723285277684
PW0.05,146.75,200,2,0.05,28.814644078413647
PW0.1,144.49,200,2,0.1,29.044199311733244
PW0.15,141.71,200,2,0.15,33.73537173271179
PW0.02,163.86,500,2,0.02,23.895882471402487
PW0.05,163.86,500,2,0.05,25.797828900814057
